bin_id,asin_count,expected_quantity,asin_list
111580,2,3,B00JH8M2D4|B0178WDRIO
101179,3,3,B000P1UA9U|B00A3DPO3C|B01C7EVXZ2
105123,3,5,B00BYVYHJ4|B00EB4ADQW|B00M2JBBJG
08362,3,7,B00FZMTRFW|B00V6BSCF2|B01DNC0REU
01559,3,3,1935589679|B000X721ZC|B00DC0ZPFU
102516,3,4,B004YHVNWO|B00EA06U7S|B015IK3NPA
10989,2,2,B00823GUZG|B00NC3DSN8
100945,2,4,B004EHSP3Y|B01CJ7BGEK
102285,2,2,B0032Z8KH0|B01EFCZ1IE
108075,3,14,B00O6UCXUK|B00QK888GY|B00U6H39IM
00876,2,13,B000RI6C7K|B005H4I6SC
104740,2,5,B00B6ERHNC|B00U2UZ40Y
01967,2,8,B018AP1WMQ|B01BUURG3C
112297,2,4,B008WCQEYY|B00YQKRL70
02546,2,2,B007RFSQDO|B00V7M9YQQ
01554,3,5,B005IGW8IS|B00QH4VUUM|B010CAEOUO
108368,2,2,B0102ZQ3LM|B017L1WXD2
05644,2,2,B00K0VTVTA|B016N85VTW
10587,3,3,B004T395J6|B005DKKBUG|B01DN0AJXQ
108107,3,3,B0144MFPOA|B014LVI0D2|B01FFG9J0U
08747,3,3,B0002X4DP8|B015EHYWRA|B01EZLWEL2
101177,2,2,B003DH1S26|B00U1NFVZ0
104865,3,3,B003RBB2PQ|B00EC2CKW8|B015TC63LI
01625,3,6,B0000DBMMO|B00AM1WAN2|B00OKRSMV8
04472,3,3,B0015MT27Y|B007PJK04A|B00FM4E3SE
106903,3,3,B000GRA1OM|B0056QXWVM|B00SLPO7VE
103126,2,4,B00HLEG79G|B00NJUT306
111850,3,6,B000E1FZIW|B003Z3R4KI|B004VNYXAU
107146,2,2,B004I149RW|B0055FGAS6
112784,3,7,B00I1JWWXU|B01C5543MS|B01CFMQZXQ
104478,3,3,B000I0396E|B00EKPHGQM|B00HRSWRHW
100047,3,4,B002ILXDY4|B0055521W0|B016BBZ8NK
104834,2,2,B000FRVOPI|B000GG2HOU
112118,3,4,B00J05ME0K|B00Y1HPJWW|B01A7RCDAA
106435,2,2,B00U0NDJKK|B00ZTRWX7C
04802,3,3,B00U8M34RG|B01A94WK7M|B01CBMDY3O
104463,3,4,B0007ZULSY|B00ND5ZC0W|B00ZF8U53E
106500,3,6,B0009IQZFM|B004HCM9H4|B0095MH2ZU
00278,2,7,B000J07BRQ|B0017J67I2
06274,3,12,B002MWB7IS|B002NFUNHA|B005OK3JT0
08149,4,4,B0007TKHFW|B0091HKNLE|B013INLPF4|B01G317714
06870,4,4,B00LMR6EEQ|B00OV9JT0I|B00SO1IH7A|B01CSH5Q60
109879,4,4,1111346550|1305251075|B00DLDH1N2|B018R4Z6KO
103781,4,4,B00ASJOCDO|B00N4OSR8Q|B010MVQHR6|B01D3BPZ0M
109762,4,5,B001QY0SLU|B0049Z6WQ8|B0132LVW0A|B017AM2IDW
105115,4,4,B004TEVQX8|B00C7W5B12|B00XJS9LIW|B01ANMO71M
02959,4,7,B00QMTG8BI|B00XXFGE5E|B01EKY8O7W|B01GDQLDBO
02204,4,5,B005Z81YQ6|B008TLBN2Q|B014PYKI6C|B01F8OTYSQ
103704,4,6,B001JL4LZ4|B0057FQCNC|B006ZT4VA0|B00L8OEHEM
01584,4,6,B0001NE4TO|B000A2G2U0|B009T71ELY|B01EX4UXKA
07431,4,6,B004Q3SBYO|B00B6IM3GE|B00K3BJV74|B018Z5C1NU
01545,4,4,B00176GSEI|B0081GFT92|B00BD8QLGK|B00P4A3HYW
08293,4,5,B00KA84CXI|B00N6EC1MM|B00QSHKE5K|B014GUKH7A
100305,4,4,B00132GQD4|B003TFE7VG|B00GJ2EMSY|B013HW8ZIG
10608,4,6,B002FTSTL6|B00IOFDKMS|B00JXBLIJY|B00TV0SMEG
109761,4,6,B001QY0SLU|B0049Z6WQ8|B0132LVW0A|B017AM2IDW
04908,4,7,B0018C6XSW|B001VLFE7G|B0085MNH6Y|B01EHIP8HK
04146,4,5,B0067VLJWE|B008EGUEBM|B00MHTR5B4|B015PYYO0C
111423,4,7,1455707139|B005K47BS0|B0132LVW0A|B015MY23GW
113481,4,4,1616950730|B0007WW66M|B00U7EOFDM|B011YZGPOE
